;210;212;214;216;220;252;254;255;256;257;259;261;262;263;264;265;266;268;270;271;273;310;312;314;316;320;352;354;355;356;357;359;361;362;363;364;365;366;368;370;371;373
359;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;4;4;4;4;4;3;2;2;2;1;;1;2;2;3;3;3;3;3;3;3
361;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;4;4;4;4;4;3;3;3;2;2;1;;2;1;3;2;3;3;3;3;3
362;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;4;4;4;4;4;3;3;3;3;3;2;2;;2;1;2;2;3;3;3;3
363;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;4;4;4;4;4;3;3;3;3;3;2;1;2;;2;1;3;3;3;3;3
364;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;4;4;4;4;4;3;3;3;3;3;3;3;1;2;;2;1;2;3;3;3
365;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;4;4;4;4;4;3;3;3;3;3;3;2;2;1;2;;2;3;3;3;3
366;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;4;4;4;4;4;3;3;3;3;3;3;3;2;3;1;2;;1;2;2;3
368;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;4;4;4;4;4;3;3;3;3;3;3;3;3;3;2;3;1;;1;2;2
370;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;4;4;4;4;4;3;3;3;3;3;3;3;3;3;3;3;2;1;;2;2
371;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;4;4;4;4;4;3;3;3;3;3;3;3;3;3;3;3;2;2;2;;1
373;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;4;4;4;4;4;3;3;3;3;3;3;3;3;3;3;3;3;2;2;1;
